"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Marcelino","Otilia","marcelino.otilia@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Ms.","Soraia","Moises","soraia.moises@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Heitor","Nunes","heitor.nunes@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Cornelio","de Fatima","cornelio.defatima@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Dominikus","Pascoela","dominikus.pascoela@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Lourenco","da Costa","lourenco.dacosta@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Donato","Solposto","donato.solposto@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Acacio","Ramos","acacio.ramos@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-08","2012-01-09",16,"Mr.","Orlando","Rafael","orlando.rafael@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Ms.","Maria","dos Santos","maria.dossantos@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Marcus","Domingas","marcus.domingas@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Cornelio","Ximenes","cornelio.ximenes@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Ms.","Telma","Ramos","telma.ramos@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Andreia","Gusmão","andreia.gusmao@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Ms.","Mariano","Aparicio","mariano.aparicio@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Guido","Guterres","guido.guterres@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Emidia","Magno Freitas","emidia.magnofreitas@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Lucio","Aparicio","lucio.aparicio@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Orlando","Idalina","orlando.idalina@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Marito","Marques","marito.marques@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Mr.","Miguel","de Deus","miguel.dedeus@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2012-01-04","2012-01-04",4,"Ms.","Joana","Martins","joana.martins@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2011-12-04","2011-12-04",8,"Ms.","Clàudia","Gouveia Leite","claudia.gouveialeite@gmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2011-12-04","2011-12-04",8,"Mr.","Eduarda","Tilman","eduarda.tilman@hotmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Aileu Vila Branch Office","2011-12-04","2011-12-04",8,"Ms.","Diana","Hendrigue Pinto","diana.hendriguepinto@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Ms.","Isabel","Zacarias","isabel.zacarias@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Yakobus","Maia","yakobus.maia@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Aleixo","Mondego","aleixo.mondego@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Eduarda","Gomes","eduarda.gomes@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Martinho","dos Santos","martinho.dossantos@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Marcus","Zolo","marcus.zolo@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Abel","Gusmão","abel.gusmao@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Ms.","Diana","de Araujo","diana.dearaujo@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Mr.","Joao","Domingas","joao.domingas@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Baucau Branch Office","2012-01-12","2012-01-13",16,"Ms.","Joana","Gouveia Leite","joana.gouveialeite@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Eugenio","Hildeberto","eugenio.hildeberto@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Ms.","Rosa","Tilman","rosa.tilman@gmail.com"
